index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
05779,1953,1953-02-20,4,25.63,25.63,25.63,25.63,25.63,1400000,0,1,0,0,0,0,0,0,0,0,0,0
05780,1953,1953-02-24,1,25.75,25.75,25.75,25.75,25.75,2300000,0,1,0,0,0,0,0,0,0,0,0,0
05781,1953,1953-02-25,2,25.91,25.91,25.91,25.91,25.91,2360000,0,1,0,0,0,0,0,0,0,0,0,0
05782,1953,1953-02-26,3,25.95,25.95,25.95,25.95,25.95,2290000,0,1,0,0,0,0,0,0,0,0,0,0
05783,1953,1953-02-27,4,25.9,25.9,25.9,25.9,25.9,1990000,0,1,0,0,0,0,0,0,0,0,0,0
05784,1953,1953-03-02,0,25.93,25.93,25.93,25.93,25.93,1760000,0,0,1,0,0,0,0,0,0,0,0,0
05785,1953,1953-03-03,1,26.0,26.0,26.0,26.0,26.0,1850000,0,0,1,0,0,0,0,0,0,0,0,0
05786,1953,1953-03-04,2,25.78,25.78,25.78,25.78,25.78,2010000,0,0,1,0,0,0,0,0,0,0,0,0
05787,1953,1953-03-05,3,25.79,25.79,25.79,25.79,25.79,1540000,0,0,1,0,0,0,0,0,0,0,0,0
05788,1953,1953-03-06,4,25.84,25.84,25.84,25.84,25.84,1690000,0,0,1,0,0,0,0,0,0,0,0,0
05789,1953,1953-03-09,0,25.83,25.83,25.83,25.83,25.83,1600000,0,0,1,0,0,0,0,0,0,0,0,0
05790,1953,1953-03-10,1,25.91,25.91,25.91,25.91,25.91,1530000,0,0,1,0,0,0,0,0,0,0,0,0
05791,1953,1953-03-11,2,26.12,26.12,26.12,26.12,26.12,1890000,0,0,1,0,0,0,0,0,0,0,0,0
05792,1953,1953-03-12,3,26.13,26.13,26.13,26.13,26.13,1780000,0,0,1,0,0,0,0,0,0,0,0,0
05793,1953,1953-03-13,4,26.18,26.18,26.18,26.18,26.18,1760000,0,0,1,0,0,0,0,0,0,0,0,0
05794,1953,1953-03-16,0,26.22,26.22,26.22,26.22,26.22,1770000,0,0,1,0,0,0,0,0,0,0,0,0
05795,1953,1953-03-17,1,26.33,26.33,26.33,26.33,26.33,2110000,0,0,1,0,0,0,0,0,0,0,0,0
05796,1953,1953-03-18,2,26.24,26.24,26.24,26.24,26.24,2110000,0,0,1,0,0,0,0,0,0,0,0,0
05797,1953,1953-03-19,3,26.22,26.22,26.22,26.22,26.22,1840000,0,0,1,0,0,0,0,0,0,0,0,0
